[[0, 1]]
[[2.491389207807118, 0.11168814515611977], [4.528872593950505, 0.12241136115919728], [6.0, 0.06914791306020389], [7.531822863027807, 0.15563890491761237], [9.579426809613903, 0.22874591267551453], [11.0, 0.1451561197666218], [12.328623629719853, 0.13159581970891837], [14.348334833483348, 0.03561582355581201]]
[[2.443103921030984, 0.30981169474727455], [4.469090431815199, 0.2157440181226108], [6.0, 0.0856859691349285], [7.456186127419004, 0.13022794846382557], [9.45696489241223, 0.1000141582896786], [11.0, 0.03964321110009911], [12.463940193491645, 0.06439190145830384], [14.48076923076923, 0.05448109868327906]]
[[2.5131094583427243, 0.30039267015706805], [4.453105329416702, 0.21511103087199857], [6.0, 0.0876286333273154], [7.4580431177446105, 0.13608051994944936], [9.462556978510962, 0.10396732262141181], [11.0, 0.040666185231991336], [12.46788990825688, 0.06641541794547752], [14.445553539019963, 0.049738219895287955]]
[[2.410694130925508, 0.3652478614861383], [4.442712392829306, 0.1983407193651448], [6.0, 0.07745027311140884], [7.452838241570636, 0.12073585489024014], [9.456401766004415, 0.09337318355147893], [11.0, 0.03813253632897042], [12.4631217838765, 0.060084509945377715], [14.475138121546962, 0.04663506132124085]]
[[2.416490486257928, 0.41875082997653934], [4.434299814929056, 0.21526271524058252], [6.0, 0.07529547164800142], [7.44484412470024, 0.1107520694081714], [9.465824238943137, 0.07706608826523836], [11.0, 0.028108538798636624], [12.447524752475248, 0.04470806958523306], [14.446244477172312, 0.030056217077597272]]
[[2.4159897782239663, 0.4528808795569149], [4.415626114876917, 0.2317103414069604], [6.0, 0.07340662974291147], [7.439157566302652, 0.10597668843514921], [9.424375, 0.0661320988674878], [11.0, 0.02103827395221956], [12.418410041841005, 0.029635446804992974], [14.460215053763442, 0.019219641233363643]]
[[2.248205411374931, 0.4075616068414538], [4.358902575587906, 0.20096770563744795], [6.0, 0.08585574434567346], [7.522271714922049, 0.10104647237537977], [9.53019145802651, 0.07640373579385619], [11.0, 0.039270845054574094], [12.236070381231672, 0.07674130752784966], [14.36111111111111, 0.01215258242376505]]
[[2.439498346196251, 0.1983109677772008], [4.486337887370876, 0.16403837218836262], [6.0, 0.06747929705649239], [7.505606728073689, 0.13648910874853099], [9.273858921161827, 0.22394708792259968], [11.0, 0.07677170734373719], [12.427455357142858, 0.09795293667495696], [14.3551912568306, 0.03501052228811938]]
[[2.4322289156626504, 0.2165845172513772], [4.470293648987025, 0.15921281530878514], [6.0, 0.07226732386198899], [7.484144341170039, 0.13257465932154247], [9.476527149321267, 0.12815308785155116], [11.0, 0.061938242968976515], [12.50332326283988, 0.11996230791533778], [14.49104774535809, 0.10930704552044071]]
[[2.4597800301919346, 0.3133743326349936], [4.476183229341044, 0.22203825099682367], [6.0, 0.08930864364398189], [7.466269841269841, 0.13624383320943434], [9.464127847670861, 0.099378252348449], [11.0, 0.04017706291815908], [12.44375, 0.05947151449618166], [14.478885135135135, 0.04000810975197675]]
[[2.507228229937393, 0.22777360056003526], [4.493015414258188, 0.21530244496875728], [6.0, 0.09595789364515543], [7.466127240996351, 0.16342140060670488], [9.454718578078714, 0.12253364100702636], [11.0, 0.049573491664289975], [12.461402266288951, 0.07321942492675465], [14.447864945382324, 0.05221810262127616]]
[[2.4771825396825395, 0.18957167708872066], [4.491850157277667, 0.16441769711787108], [6.0, 0.07221778174808406], [7.466313398940197, 0.12421834594950397], [9.586928525434642, 0.14603413418590436], [11.0, 0.12939019229865062], [12.348341232227488, 0.13888758286708355], [14.378666666666666, 0.03526258874418167]]
[[2.4841578654808227, 0.3148879775955191], [4.447236180904523, 0.2388477695539108], [6.0, 0.09286857371474296], [7.434712807706029, 0.14017803560712142], [9.439636752136753, 0.09361872374474894], [11.0, 0.034081816363272656], [12.449550449550449, 0.050060012002400484], [14.470380818053597, 0.035457091418283654]]
[[2.443659983055634, 0.3314301759640584], [4.460199004975125, 0.22575814301759642], [6.0, 0.08554848371396481], [7.470462633451957, 0.13150505428678397], [9.431274900398407, 0.09397229502059154], [11.0, 0.03509921377761138], [12.42483660130719, 0.057281916885061776], [14.448931116389549, 0.039404717334331714]]
[[2.3069207622868606, 0.8550600343053173], [4.349056603773585, 0.09090909090909091], [6.0, 0.015437392795883362], [7.592592592592593, 0.023156089193825044], [9.5, 0.005145797598627788], [11.0, 0.003430531732418525], [12.428571428571429, 0.006003430531732418], [15.0, 0.0008576329331046312]]
[[2.51930127237438, 0.23786806196778496], [4.49523423240722, 0.2529496255258028], [6.0, 0.13332307376628708], [7.40064017071219, 0.19231558428234327], [9.419920769666101, 0.09064327485380116], [11.0, 0.02990663793987894], [12.441591784338897, 0.03996101364522417], [14.461024498886415, 0.023032728018877603]]
[[2.429637402355136, 0.4833474218089603], [4.4617055947854425, 0.31124260355029587], [6.0, 0.09816849816849817], [7.351464435146443, 0.06734291349675965], [9.378016085790884, 0.021020005635390252], [11.0, 0.00715694561848408], [12.469696969696969, 0.007438715131022823], [14.421052631578947, 0.0042828965905888985]]
[[2.394259471871412, 0.5649241146711635], [4.384407146724418, 0.23959008950577249], [6.0, 0.06122713711246595], [7.404293381037567, 0.07251264755480608], [9.413284132841328, 0.035153716435335325], [11.0, 0.00869114022571021], [12.435294117647059, 0.011026073420677131], [14.415094339622641, 0.00687508107406927]]
[[2.4148737719189155, 0.2483169662157989], [4.481367652708413, 0.1607683280835032], [6.0, 0.07161385955160274], [7.518343461625028, 0.1372058551046878], [9.50729358447812, 0.21805323945401767], [11.0, 0.06608609721450188], [12.397813688212928, 0.064974368476314], [14.410112359550562, 0.03298128589957384]]
