[[0, 1]]
[[3.0051107325383306, 0.1693594922100404], [6.039305372509497, 0.20675450407129575], [8.53752462833602, 0.178976726293518], [10.87927486097123, 0.3660479579406296], [13.608943089430895, 0.07886131948451626]]
[[2.8633391165087416, 0.42435225824720374], [5.8821008680364795, 0.2577091887300014], [8.477589641434262, 0.11371938269857002], [10.906685565792582, 0.11986408041908538], [13.95636119503189, 0.08435508990513946]]
[[2.9315482617145325, 0.4180357465246434], [5.908369659982563, 0.2588463621592345], [8.47269950362734, 0.11820725762773064], [10.897254046190216, 0.12409730998375158], [13.88969561574979, 0.08081332370463983]]
[[2.7799198527022635, 0.4757806863856539], [5.905992425930052, 0.23132021024425437], [8.481427174975561, 0.10543130990415335], [10.908344733242133, 0.11300628671544884], [13.923875432525952, 0.07446150675048954]]
[[2.7732372451068708, 0.5405249878270107], [5.861014994232987, 0.2302686910716657], [8.455212922173274, 0.09043424372537737], [10.87375249500998, 0.08870789252357134], [13.868258178603007, 0.05006418485237484]]
[[2.7805803414599874, 0.5882863519880962], [5.839105339105339, 0.22914772257584526], [8.449926722032242, 0.08460775398859222], [10.836760124610592, 0.06633876167644871], [13.887581699346406, 0.031619409771017605]]
[[2.668974197608559, 0.5364014853156296], [5.884342607746863, 0.20625632947001238], [8.404822335025381, 0.0886688421289524], [11.13089430894309, 0.13840441093732417], [13.546468401486988, 0.030268932148081466]]
[[2.9048263855305154, 0.28257126458771764], [5.942726231386025, 0.2147366694908306], [8.702064896755163, 0.2316269917188226], [10.972976776917664, 0.19418404438492443], [13.61713473160327, 0.07688102981770477]]
[[2.871612670119234, 0.30092055668309653], [5.969900790314444, 0.21553348796752683], [8.511043622308117, 0.13126993331400405], [10.991861849940452, 0.18258915627718178], [13.960486971379753, 0.16968686575819078]]
[[2.8766907832651776, 0.4296816922349125], [5.876703685007572, 0.26775697776576335], [8.456018518518519, 0.11678042846522944], [10.890744409849987, 0.11938230722443739], [13.891094147582697, 0.06639859430965736]]
[[2.9908426317814545, 0.33692862143171975], [5.934677419354839, 0.28935155176437033], [8.467271078875793, 0.14299048458606653], [10.887495521318524, 0.14472763099898883], [13.879107627374133, 0.08600171121885453]]
[[2.943019452573593, 0.2731205040199351], [5.933561937419632, 0.21938031877380224], [8.51013916500994, 0.11824721425548922], [11.015692307692309, 0.3056091024495745], [13.58122540753232, 0.08364286050119893]]
[[2.931964415598948, 0.4469143828765753], [5.901120573733752, 0.27893078615723144], [8.462624035281147, 0.11339767953590718], [10.867672099245926, 0.10279555911182237], [13.899482312338222, 0.05796159231846369]]
[[2.8620689655172415, 0.4532946461999251], [5.867774566473988, 0.25907899663047546], [8.463474025974026, 0.11531261699737926], [10.930172413793104, 0.10857356795207787], [13.895741556534508, 0.06374017222014226]]
[[2.4165103189493435, 0.9142367066895368], [5.606060606060606, 0.05660377358490566], [8.157894736842104, 0.016295025728987993], [11.090909090909092, 0.009433962264150943], [13.5, 0.003430531732418525]]
[[3.036486107213023, 0.36554837385862315], [5.973243688254665, 0.3738586231661024], [8.405619311436485, 0.12962962962962962], [10.825568181818182, 0.0902841900071817], [13.827238335435057, 0.04067918333846312]]
[[2.833852813852814, 0.650887573964497], [5.64969409907243, 0.28554522400676247], [8.355828220858896, 0.03674274443505213], [10.789940828402367, 0.01904761904761905], [13.782608695652174, 0.007776838546069315]]
[[2.726693372177713, 0.7124140614865742], [5.751155115511551, 0.1965235439097159], [8.412987012987013, 0.049941626670125826], [10.71806167400881, 0.029446101958749513], [13.833333333333334, 0.01167466597483461]]
[[2.8133320919839866, 0.33169662157989005], [5.947451543431443, 0.21508862948551666], [8.601694915254237, 0.1785559878945093], [10.66876520246101, 0.2158297819776419], [13.790551181102362, 0.0588289790624421]]
