[[0, 1]]
[[3.0051107325383306, 0.1693594922100404], [5.51646115168203, 0.13388792716548054], [7.531822863027807, 0.15563890491761237], [9.579426809613903, 0.22874591267551453], [11.378363536518396, 0.23350644354683592], [13.608943089430895, 0.07886131948451626]]
[[2.8633391165087416, 0.42435225824720374], [5.458484848484848, 0.18688942375761008], [7.456186127419004, 0.13022794846382557], [9.45696489241223, 0.1000141582896786], [11.465444826269568, 0.07416112133654254], [13.95636119503189, 0.08435508990513946]]
[[2.9315482617145325, 0.4180357465246434], [5.473421116800781, 0.18509658783173857], [7.4580431177446105, 0.13608051994944936], [9.462556978510962, 0.10396732262141181], [11.46496437054632, 0.07600649936811699], [13.88969561574979, 0.08081332370463983]]
[[2.7799198527022635, 0.4757806863856539], [5.4686623012160895, 0.16525816757703804], [7.452838241570636, 0.12073585489024014], [9.456401766004415, 0.09337318355147893], [11.458272327964862, 0.07039060084509946], [13.923875432525952, 0.07446150675048954]]
[[2.7732372451068708, 0.5405249878270107], [5.446105428796224, 0.16878402903811252], [7.44484412470024, 0.1107520694081714], [9.465824238943137, 0.07706608826523836], [11.467728415758591, 0.052808640609092114], [13.868258178603007, 0.05006418485237484]]
[[2.7805803414599874, 0.5882863519880962], [5.432537749634681, 0.1697114987186906], [7.439157566302652, 0.10597668843514921], [9.424375, 0.0661320988674878], [11.450323974082073, 0.038273952219558566], [13.887581699346406, 0.031619409771017605]]
[[2.668974197608559, 0.5364014853156296], [5.543447293447294, 0.15798357150894565], [7.522271714922049, 0.10104647237537977], [9.53019145802651, 0.07640373579385619], [11.598850574712644, 0.09789580285810735], [13.546468401486988, 0.030268932148081466]]
[[2.9048263855305154, 0.28257126458771764], [5.458240534521158, 0.1472573724343382], [7.505606728073689, 0.13648910874853099], [9.273858921161827, 0.22394708792259968], [11.422135363094014, 0.13285413648910874], [13.61713473160327, 0.07688102981770477]]
[[2.871612670119234, 0.30092055668309653], [5.491133004926108, 0.1471440997390548], [7.484144341170039, 0.13257465932154247], [9.476527149321267, 0.12815308785155116], [11.4903071875932, 0.12152073064656423], [13.960486971379753, 0.16968686575819078]]
[[2.8766907832651776, 0.4296816922349125], [5.457900207900208, 0.19503953504088667], [7.466269841269841, 0.13624383320943434], [9.464127847670861, 0.099378252348449], [11.451568265682656, 0.07325809285666013], [13.891094147582697, 0.06639859430965736]]
[[2.9908426317814545, 0.33692862143171975], [5.474791533033996, 0.2021053177422282], [7.466127240996351, 0.16342140060670488], [9.454718578078714, 0.12253364100702636], [11.443052723565394, 0.08900930799346625], [13.879107627374133, 0.08600171121885453]]
[[2.943019452573593, 0.2731205040199351], [5.471744471744472, 0.1530866519347407], [7.466313398940197, 0.12421834594950397], [9.586928525434642, 0.14603413418590436], [11.411588625187086, 0.21989750340871692], [13.58122540753232, 0.08364286050119893]]
[[2.931964415598948, 0.4469143828765753], [5.465063861758076, 0.19968993798759752], [7.434712807706029, 0.14017803560712142], [9.439636752136753, 0.09361872374474894], [11.447058823529412, 0.0616373274654931], [13.899482312338222, 0.05796159231846369]]
[[2.8620689655172415, 0.4532946461999251], [5.451581027667984, 0.18944215649569449], [7.470462633451957, 0.13150505428678397], [9.431274900398407, 0.09397229502059154], [11.484181568088033, 0.0680456757768626], [13.895741556534508, 0.06374017222014226]]
[[2.4165103189493435, 0.9142367066895368], [5.327272727272727, 0.04716981132075472], [7.592592592592593, 0.023156089193825044], [9.5, 0.005145797598627788], [11.5, 0.00686106346483705], [13.5, 0.003430531732418525]]
[[3.036486107213023, 0.36554837385862315], [5.5155723070819285, 0.2585923874012517], [7.40064017071219, 0.19231558428234327], [9.419920769666101, 0.09064327485380116], [11.427308447937131, 0.0522211962655176], [13.827238335435057, 0.04067918333846312]]
[[2.833852813852814, 0.650887573964497], [5.405871388630009, 0.24187094956325725], [7.351464435146443, 0.06734291349675965], [9.378016085790884, 0.021020005635390252], [11.355329949238579, 0.011101718794026487], [13.782608695652174, 0.007776838546069315]]
[[2.726693372177713, 0.7124140614865742], [5.399323181049069, 0.15332727980282787], [7.404293381037567, 0.07251264755480608], [9.413284132841328, 0.035153716435335325], [11.417391304347825, 0.014917628745622], [13.833333333333334, 0.01167466597483461]]
[[2.8133320919839866, 0.33169662157989005], [5.480621761658031, 0.14900253227101476], [7.518343461625028, 0.1372058551046878], [9.50729358447812, 0.21805323945401767], [11.371881420604637, 0.10521277252794763], [13.790551181102362, 0.0588289790624421]]
