[[0, 1]]
[[5.273149603548849, 0.4588863242931333], [10.94297816878462, 0.5411136757068667]]
[[4.324116860798167, 0.7414696304686393], [11.501204819277108, 0.2585303695313606]]
[[4.401300525094639, 0.7392128543058314], [11.418051228798893, 0.2607871456941686]]
[[4.1038354867077045, 0.7617747088529321], [11.44430023794073, 0.23822529114706792]]
[[3.954280470689841, 0.8200610862732947], [11.278228782287822, 0.1799389137267053]]
[[3.8729368990097117, 0.863974539141936], [11.031905195989061, 0.136025460858064]]
[[3.8564153345593435, 0.795431529199955], [11.114411441144114, 0.204568470800045]]
[[4.677621736402683, 0.5663177457705868], [10.701915805394504, 0.4336822542294132]]
[[4.588602459272205, 0.5806393157436939], [11.87442744793017, 0.4193606842563062]]
[[4.359991119005328, 0.7609650604852335], [11.302940344925078, 0.2390349395147665]]
[[4.746650426309379, 0.7024553397806529], [11.328337399790868, 0.29754466021934717]]
[[4.6671222345605194, 0.5504255019041798], [11.222547584187408, 0.44957449809582023]]
[[4.377117432067377, 0.7867823564712942], [11.232320863140613, 0.21321764352870573]]
[[4.278409090909091, 0.7742418569824036], [11.310530679933665, 0.22575814301759642]]
[[2.677700348432056, 0.9845626072041166], [11.277777777777779, 0.015437392795883362]]
[[4.849648152802212, 0.8164563455422181], [10.967859139183902, 0.18354365445778187]]
[[3.7986734753771203, 0.9601014370245139], [10.786723163841808, 0.03989856297548605]]
[[3.5249550670537815, 0.9382539888442081], [10.733193277310924, 0.06174601115579193]]
[[4.501274426508071, 0.6179050089555926], [10.680190737897034, 0.38209499104440736]]
