[[0, 1]]
[[8.341171379111367, 1.0]]
[[6.179612062862806, 1.0]]
[[6.23117891316122, 1.0]]
[[5.852519839224982, 1.0]]
[[5.2721437740693196, 1.0]]
[[4.846738860874597, 1.0]]
[[5.3411724991560705, 1.0]]
[[7.29025116838394, 1.0]]
[[7.643991011887503, 1.0]]
[[6.019598567277151, 1.0]]
[[6.704996240504031, 1.0]]
[[7.614274295923645, 1.0]]
[[5.8387677535507105, 1.0]]
[[5.865967802321228, 1.0]]
[[2.8104631217838767, 1.0]]
[[5.972606955986457, 1.0]]
[[4.077486615948154, 1.0]]
[[3.9700350239979243, 1.0]]
[[6.862207399172379, 1.0]]
