[[0, 1]]
[[4.113906654685765, 0.3032474193755209], [8.750344022351028, 0.38438481759312687], [11.941502463054187, 0.31236776303135216]]
[[3.6568146020568886, 0.6112416820048138], [8.325298241298734, 0.23024210675350418], [12.790996784565916, 0.158516211241682]]
[[3.711629125196438, 0.603132334356382], [8.326219798815455, 0.24004784257086118], [12.714491293711326, 0.15681982307275683]]
[[3.473070739549839, 0.641038853962692], [8.326594464500602, 0.21410903844171905], [12.725720384204909, 0.144852107595589]]
[[3.409261108337494, 0.7093090168651233], [8.274098515201509, 0.18781815767340976], [12.635972461273665, 0.10287282546146695]]
[[3.3743388407219586, 0.7579978507067868], [8.201969260326608, 0.172108787302637], [12.552927261975162, 0.06989336199057618]]
[[3.322962242748339, 0.6943850568245752], [8.386810399492708, 0.17745020816923596], [12.058823529411764, 0.1281647350061888]]
[[3.7796146753989954, 0.4298286370220558], [8.60426144980285, 0.3604361966711307], [12.226739640344018, 0.20973516630681352]]
[[3.7318611987381702, 0.4480646564221514], [8.463441757019739, 0.26072774717309366], [12.929682638456752, 0.291207596404755]]
[[3.6825508437905667, 0.6247212272757992], [8.308905779434964, 0.23562208555788336], [12.611420275828696, 0.1396566871663175]]
[[3.922174122174122, 0.539033939173948], [8.318251881403572, 0.28595504161373125], [12.640148148148148, 0.17501101921232076]]
[[3.851296194153337, 0.42620715595467584], [8.612212943632567, 0.27025248013540837], [12.00944857496902, 0.30354036390991584]]
[[3.714258091960246, 0.6466043208641729], [8.237540106951872, 0.2337967593518704], [12.635584361279532, 0.11959891978395679]]
[[3.6253094509975243, 0.6427368026956196], [8.287671232876713, 0.2254773493073755], [12.650568181818182, 0.13178584799700488]]
[[2.559322033898305, 0.9614065180102916], [7.9393939393939394, 0.02830188679245283], [12.166666666666666, 0.010291595197255575]]
[[4.063614695487795, 0.6241407612598748], [8.047498187092096, 0.28295885913614444], [12.47818884594147, 0.09290037960398072]]
[[3.5306779447039514, 0.8927585235277543], [7.833545918367347, 0.0883629191321499], [12.355223880597014, 0.018878557340095803]]
[[3.20002996703626, 0.8657413412894019], [8.060240963855422, 0.10766636399014139], [12.478048780487805, 0.02659229472045661]]
[[3.6401130669407684, 0.48069915385090484], [8.73913421418637, 0.35525909455870547], [12.239269578313253, 0.16404175159038972]]
