[[0, 1]]
[[2.491389207807118, 0.11168814515611977], [4.528872593950505, 0.12241136115919728], [6.513092550790068, 0.14201448996601912], [8.53752462833602, 0.178976726293518], [10.522712842712842, 0.2776976341604155], [12.328623629719853, 0.13159581970891837], [14.348334833483348, 0.03561582355581201]]
[[2.443103921030984, 0.30981169474727455], [4.469090431815199, 0.2157440181226108], [6.452505880224353, 0.15650573410731983], [8.477589641434262, 0.11371938269857002], [10.46449900464499, 0.08534617018264194], [12.463940193491645, 0.06439190145830384], [14.48076923076923, 0.05448109868327906]]
[[2.5131094583427243, 0.30039267015706805], [4.453105329416702, 0.21511103087199857], [6.456999021115928, 0.16137840765481135], [8.47269950362734, 0.11820725762773064], [10.45817442156115, 0.08875699584762592], [12.46788990825688, 0.06641541794547752], [14.445553539019963, 0.049738219895287955]]
[[2.410694130925508, 0.3652478614861383], [4.442712392829306, 0.1983407193651448], [6.4603231597845605, 0.14351231577862517], [8.481427174975561, 0.10543130990415335], [10.472239948947033, 0.08074822219931979], [12.4631217838765, 0.060084509945377715], [14.475138121546962, 0.04663506132124085]]
[[2.416490486257928, 0.41875082997653934], [4.434299814929056, 0.21526271524058252], [6.4495145631067965, 0.1367801336815546], [8.455212922173274, 0.09043424372537737], [10.439142461964039, 0.06400779071311584], [12.447524752475248, 0.04470806958523306], [14.446244477172312, 0.030056217077597272]]
[[2.4159897782239663, 0.4528808795569149], [4.415626114876917, 0.2317103414069604], [6.447417548226509, 0.13284285360006612], [8.449926722032242, 0.08460775398859222], [10.428451178451178, 0.049103083409109696], [12.418410041841005, 0.029635446804992974], [14.460215053763442, 0.019219641233363643]]
[[2.248205411374931, 0.4075616068414538], [4.358902575587906, 0.20096770563744795], [6.35989932885906, 0.13412850230674017], [8.404822335025381, 0.0886688421289524], [10.492242595204514, 0.07977945313379094], [12.236070381231672, 0.07674130752784966], [14.36111111111111, 0.01215258242376505]]
[[2.439498346196251, 0.1983109677772008], [4.486337887370876, 0.16403837218836262], [6.5, 0.13495859411298478], [8.702064896755163, 0.2316269917188226], [10.555907381753414, 0.13810161523955286], [12.427455357142858, 0.09795293667495696], [14.3551912568306, 0.03501052228811938]]
[[2.4322289156626504, 0.2165845172513772], [4.470293648987025, 0.15921281530878514], [6.486214893068797, 0.14065671209046102], [8.511043622308117, 0.13126993331400405], [10.503535651149086, 0.12300666859959408], [12.50332326283988, 0.11996230791533778], [14.49104774535809, 0.10930704552044071]]
[[2.4597800301919346, 0.3133743326349936], [4.476183229341044, 0.22203825099682367], [6.448800834202294, 0.16202608636885854], [8.456018518518519, 0.11678042846522944], [10.465544244322631, 0.08630127728593634], [12.44375, 0.05947151449618166], [14.478885135135135, 0.04000810975197675]]
[[2.507228229937393, 0.22777360056003526], [4.493015414258188, 0.21530244496875728], [6.476224172091706, 0.18320412766729757], [8.467271078875793, 0.14299048458606653], [10.470819995075106, 0.10529181466981255], [12.461402266288951, 0.07321942492675465], [14.447864945382324, 0.05221810262127616]]
[[2.4771825396825395, 0.18957167708872066], [4.491850157277667, 0.16441769711787108], [6.478615071283095, 0.13851144858714562], [8.51013916500994, 0.11824721425548922], [10.601530054644808, 0.2151017913395082], [12.348341232227488, 0.13888758286708355], [14.378666666666666, 0.03526258874418167]]
[[2.4841578654808227, 0.3148879775955191], [4.447236180904523, 0.2388477695539108], [6.460409705070464, 0.17210942188437686], [8.462624035281147, 0.11339767953590718], [10.452974410103025, 0.07524004800960192], [12.449550449550449, 0.050060012002400484], [14.470380818053597, 0.035457091418283654]]
[[2.443659983055634, 0.3314301759640584], [4.460199004975125, 0.22575814301759642], [6.4487334137515075, 0.15518532384874578], [8.463474025974026, 0.11531261699737926], [10.464108910891088, 0.07562710595282665], [12.42483660130719, 0.057281916885061776], [14.448931116389549, 0.039404717334331714]]
[[2.3069207622868606, 0.8550600343053173], [4.349056603773585, 0.09090909090909091], [6.379310344827586, 0.024871355060034305], [8.157894736842104, 0.016295025728987993], [10.571428571428571, 0.006003430531732418], [12.428571428571429, 0.006003430531732418], [15.0, 0.0008576329331046312]]
[[2.51930127237438, 0.23786806196778496], [4.49523423240722, 0.2529496255258028], [6.4636813867106895, 0.24858930953113778], [8.405619311436485, 0.12962962962962962], [10.44, 0.06796963168154303], [12.441591784338897, 0.03996101364522417], [14.461024498886415, 0.023032728018877603]]
[[2.429637402355136, 0.4833474218089603], [4.4617055947854425, 0.31124260355029587], [6.307906237584426, 0.14184277261200337], [8.355828220858896, 0.03674274443505213], [10.473880597014926, 0.015102845872076642], [12.469696969696969, 0.007438715131022823], [14.421052631578947, 0.0042828965905888985]]
[[2.394259471871412, 0.5649241146711635], [4.384407146724418, 0.23959008950577249], [6.413664596273292, 0.104423401219354], [8.412987012987013, 0.049941626670125826], [10.374301675977653, 0.023219613438837723], [12.435294117647059, 0.011026073420677131], [14.415094339622641, 0.00687508107406927]]
[[2.4148737719189155, 0.2483169662157989], [4.481367652708413, 0.1607683280835032], [6.479928235030276, 0.13769995676610464], [8.601694915254237, 0.1785559878945093], [10.373995106606081, 0.17670310666419617], [12.397813688212928, 0.064974368476314], [14.410112359550562, 0.03298128589957384]]
